name,category,lat,lon,address,city,phone,website,source,opportunity_score
Cafe,cafe,42.3511325,-83.0657091,441 West Canfield Street,Detroit,,,OSM,40
Morningside Cafe,cafe,42.4030739,-82.9384985,,Windsor,,,OSM,40
Jabal Coffee House,cafe,42.3053979,-83.2457091,,Windsor,,,OSM,40
James Oliver,cafe,42.2026402,-83.1498022,3042 Biddle Avenue,Wyandotte,,,OSM,40
Biggby Coffee,cafe,42.2032283,-83.1810497,14440 Fort Street,Southgate,,,OSM,40
Ananas Cafe,cafe,42.3262067,-83.292445,,Windsor,,,OSM,40
Elias Donuts,cafe,42.4055668,-83.2310339,,Windsor,,,OSM,40
Mangonadas Del Barrio #2,cafe,42.3214545,-83.0923858,,Windsor,,,OSM,40
Nevería La Michoacana,cafe,42.320564,-83.095663,,Windsor,,,OSM,40
Donutown,cafe,42.3999642,-83.2954004,,Windsor,,,OSM,40
"El Artesano, LLC",cafe,42.3190535,-83.0992621,4746 West Vernor Highway,Detroit,,,OSM,40
Tim Hortons,cafe,42.3476343,-83.0017483,7201 East Jefferson Avenue,Detroit,,,OSM,40
Monday Coffee Club,cafe,42.3018927,-83.2644132,23440 Michigan Avenue,Dearborn,,,OSM,40
Caribou Coffee,cafe,42.455862,-83.1307619,,Windsor,,,OSM,40
Replay Café,cafe,42.372244,-83.0658109,6545 Saint Antoine Street,Detroit,,,OSM,40
Tim Hortons,cafe,42.2501777,-83.0612628,5775,Windsor,,,OSM,40
Tim Hortons,cafe,42.230107,-83.1027123,1891 Front Road,Lasalle,,,OSM,40
Flic of the Wrist Eatery,cafe,42.4354864,-82.9684342,,Windsor,,,OSM,40
Starbucks,cafe,42.2557848,-82.9636079,4450 Walker Road,Windsor,,,OSM,40
The Red Hook,cafe,42.4608299,-83.1367365,220 West 9 Mile Road,Ferndale,,,OSM,40
Drifter Coffee,cafe,42.468349,-83.1287434,770 Woodward Heights,Ferndale,,,OSM,40
Coney Island,cafe,42.4626382,-83.0270145,,Windsor,,,OSM,40
Pine Coast Café,cafe,42.3207473,-83.1798319,,Windsor,,,OSM,40
Higher Culture Cafe,cafe,42.3332444,-82.9417928,,Windsor,,,OSM,40
